Regulated Donee,Donor,Donation Type,Date Accepted,Date Reported,Measure Names,Destination,Nature Of Donation,Position Standing For,Purpose Of Visit,Value
A. A. Craig,Christian People's Alliance,Cash,31/08/2005,01/09/2005,Value,,,,,£100.00
A. A. Craig,Christian People's Alliance,Non Cash,31/12/2002,01/01/2003,Value,,Staff costs,,,"£1,200.00"
A. A. Craig,Christian People's Alliance,Non Cash,30/04/2003,01/05/2003,Value,,Staff costs,,,"£1,200.00"
A. A. Craig,Christian People's Alliance,Non Cash,30/08/2003,01/09/2003,Value,,Staff costs,,,"£1,200.00"
A. A. Craig,Christian People's Alliance,Non Cash,31/12/2003,01/01/2004,Value,,Staff costs,,,"£1,200.00"
A. A. Craig,Christian People's Alliance,Non Cash,30/04/2004,01/05/2004,Value,,Staff costs,,,"£1,200.00"
A. A. Craig,Christian People's Alliance,Non Cash,31/08/2004,01/09/2004,Value,,Staff costs,,,"£1,200.00"
A. A. Craig,Christian People's Alliance,Non Cash,31/12/2004,01/01/2005,Value,,Staff costs,,,"£1,200.00"
A. A. Craig,Christian People's Alliance,Non Cash,30/04/2005,01/05/2005,Value,,Staff costs,,,"£1,200.00"
A. A. Craig,Christian People's Alliance,Non Cash,31/08/2005,01/09/2005,Value,,Staff costs,,,"£1,200.00"
A. A. Craig,Christian People's Alliance,Non Cash,31/12/2005,01/01/2006,Value,,Staff costs,,,"£1,200.00"
Abena Oppong-Asare,Children's Investment Fund Foundation,Visit,28/05/2023,19/06/2023,Value,Nepal,,,"To observe the impact of UK aid on water, sanitation and hygiene projects with the Coalition for Global Prosperity and WaterAid.","£2,210.38"
Abena Oppong-Asare,Community Union,Cash,22/03/2022,24/06/2022,Value,,,,,"£1,250.00"
Abena Oppong-Asare,Community Union,Cash,21/06/2022,24/06/2022,Value,,,,,"£1,250.00"
Abena Oppong-Asare,Community Union,Cash,13/01/2023,14/02/2023,Value,,,,,"£1,250.00"
Abena Oppong-Asare,Community Union,Cash,13/02/2023,14/02/2023,Value,,,,,"£1,250.00"
Abena Oppong-Asare,GUBA Foundation,Visit,05/11/2021,17/11/2021,Value,Ghana (Accra),,,To participate in the GUBA Foundation Yaa Asantewaa Womens Empowerment Awards ceremony and meet other relevant civil society organisations,"£2,631.51"
